Oligo Number,Study (comments here),Chemistry,Oligo,Distance from Donor (position of 1st base relative to donor),Distance from acceptor (position of last base relative to acceptor),Length,ACP,Targeted exon,Exon Length,Exon Malueka Category,L1 (WeeEtal),L3 (WeeEtal),niscore,niscore_per_base,ACC_FL,ACC_LAST8,ACC_LAST15,ACC_BEST8,ACC_AVE,Skip level,% skip,Skip level (num),Skip or No skip,"Tm (for DNA to DNA, simple calc from http://www.promega.com/techserv/tools/biomath/calc11.htm)",%GC,GCs (number of),%GC 5' intron 200 bases upstream,%GC fold increase target over 5' intron,%GC increase target over 5' intron,Decrease in GC% due to blocking by oligo,Decrease in ratio of exon to intron %GC due to oligo blocking,%GC exon,Total GCs in exon,Total GCs in target,# exon GCs blocked by oligo,Length of exon when blocked by oligo,%GC of exon when blocked by oligo,Exon v intron %GC,Exon v intron %GC after blocking by oligo,Exon-oligo binding energy,"dG (TargetAsExon, RNAstructure)","dG (50BaseFlanksAroundTarget, RNA structure)","dG (100BaseFlanks, RNAstructure)","dG (200BaseFlanks, RNAstructure)","dG (ExonStartTo10BaseDownFromOligo, RNAstructure)",RNAeval target-oligo,oligo_oligo binding energy, Min free E (RNAcofold), Free E of ensemble (RNAcofold), dG TargetAsExon oligo::target (RNAcofold), dG 50bp flanks oligo::target (RNAcofold), dG 100bp flanks oligo::target (RNAcofold), dG 150bp flanks oligo::target (RNAcofold), Free E oligo dimer (RNAcofold), Free E target monomer (RNAcofold), Free E oligo monomer (RNAcofold)
280,2009 Popplewell,PMO,h44B30/8,34,84,30,0.666,44,148,C,,,8.96336,0.299,2.94E-07,0.002762791,0.000338404,0.4408325,0.387706583,Low (<10%),4.6,0,0,57.52,37,11,0.285,1.3,8.5,0.3,0.01,0.36,53,11.1,41.9,118,35.5,1.26,1.25,-28.3,-29,-27.7,-23.6,-22.3,-26.9,-49.3,-23.5,-61.1,-64.74,-26.33,-26.72,-21.84,-23.99,-25.498854,-27.085885,-10.937634
281,2009 Popplewell,PMO,h44C30/1,12,106,30,0.814,44,148,C,,,6.3931,0.213,2.16E-07,0.4891389,0.02161888,0.4891389,0.451142193,Good (30-50%),42,2,1,57.52,37,11,0.285,1.3,8.5,0.3,0.01,0.36,53,11.1,41.9,118,35.5,1.26,1.25,-41.1,-42.7,-33.6,-35.4,-31.4,-42.7,-49.3,-10.4,-64.3,-66.11,-38.49,-34.96,-34.46,-31.07,-8.393674,-30.322135,-0.827036
282,2009 Popplewell,PMO,h44C30/2,7,111,30,0.848,44,148,C,,,-2.6569,-0.089,1.35E-06,0.02554577,0.006820913,0.4891389,0.47032422,Medium (10-30%),22,1,1,56.1533333333,33,10,0.285,1.16,4.5,-0.71,-0.03,0.36,53,9.9,43.1,118,36.5,1.26,1.28,-38,-39.6,-36.1,-35.5,-30.4,-39.5,-47.3,-7.4,-63.7,-66.31,-37.14,-36.39,-34.32,-29.75,-7.683467,-29.140805,-0.788582
283,2009 Popplewell,PMO,h44C30/3,2,116,30,0.882,44,148,C,,,-5.0269,-0.168,1.92E-06,0.0182922,0.009488607,0.4891389,0.478558857,Good (30-50%),35,2,1,56.1533333333,33,10,0.285,1.16,4.5,-0.71,-0.03,0.36,53,9.9,43.1,118,36.5,1.26,1.28,-38.9,-40.5,-34.5,-32.6,-25.5,-37.4,-47.7,-13.8,-62.6,-65.56,-36.89,-32.59,-30.88,-31.54,-11.797877,-30.528352,-2.445768
284,2009 Popplewell,PMO,h45A30/1,146,0,30,0.082,45,176,A,,,9.00916,0.3,3.80E-11,9.76E-05,1.12E-06,0.001301049,0.333352551,Excellent (>50%),64.5,2,1,67.0866666667,60,18,0.37,1.62,23,2.87,0.08,0.46,81,18,63,146,43.1,1.24,1.17,-49.7,-50,-46.9,-42,-42.2,-53.7,-64.4,-11,-77,-80.39,-49.39,-41.84,-37.79,-36.8,-11.079868,-35.957761,-2.589703
285,2009 Popplewell,PMO,h45A30/2,142,4,30,0.105,45,176,A,,,8.65816,0.289,1.39E-10,0.003348096,1.95E-06,0.004456596,0.315662356,Excellent (>50%),91.4,2,1,67.0866666667,60,18,0.37,1.62,23,2.87,0.08,0.46,81,18,63,146,43.1,1.24,1.17,-46.6,-46.9,-42.9,-42.3,-39.5,-50.5,-64.1,-13,-77.7,-81.31,-43.79,-37.33,-35.95,-32.44,-13.638566,-38.975172,-5.00663
286,2009 Popplewell,PMO,h45A30/3,108,38,30,0.298,45,176,A,,,12.5905,0.42,1.17E-05,0.02616881,0.003030598,0.3067921,0.502932137,Low (<10%),6.3,0,0,58.8866666667,40,12,0.37,1.08,3,-1.24,-0.03,0.46,81,12,69,146,47.3,1.24,1.28,-35.5,-35.9,-35.2,-36.8,-34.3,-38.8,-51.2,-11.8,-69.4,-71.42,-35.81,-32.37,-32.08,-29.31,-12.27142,-36.563085,-2.490091
287,2009 Popplewell,PMO,h45A30/8,76,70,30,0.48,45,176,A,,,17.1721,0.572,3.18E-05,0.006904599,0.004396719,0.2695825,0.52371625,Low (<10%),1.6,0,0,58.8866666667,40,12,0.37,1.08,3,-1.24,-0.03,0.46,81,12,69,146,47.3,1.24,1.28,-39.3,-39.9,-36.6,-36.7,-32.3,-42.3,-52.2,-13.7,-71.2,-74.32,-39.6,-33.75,-31.65,-33.94,-15.457127,-34.629281,-5.944499
288,2009 Popplewell,PMO,h45A30/4,53,93,30,0.611,45,176,A,,,3.594,0.12,1.02E-06,0.008340281,0.007007575,0.1479463,0.492910497,None,0,0,0,60.2533333333,43,13,0.37,1.16,6,-0.62,-0.02,0.46,81,12.9,68.1,146,46.6,1.24,1.26,-35.2,-41.8,-45,-40.2,-37.7,-41.5,-53.3,-7.5,-74.4,-76.25,-40.29,-41.71,-39.74,-36.39,-8.445796,-32.008079,-2.537606
289,2009 Popplewell,PMO,h45A30/5,17,129,30,0.815,45,176,A,,,14.9431,0.498,1.49E-09,0.02971111,3.44E-05,0.06115105,0.385086618,Medium (10-30%),11.2,1,1,68.4533333333,63,19,0.37,1.7,26,3.49,0.09,0.46,81,18.9,62.1,146,42.5,1.24,1.15,-44,-45.5,-40.4,-36.6,-37.1,-45.5,-65.6,-21.1,-77.99,-79.69,-42.47,-41.18,-36.71,-37.5,-19.903881,-30.575184,-7.930879
